2026-03-27 13:15:05 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | t
2026-03-27 13:15:05 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | h
2026-03-27 13:15:05 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | i
2026-03-27 13:15:05 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | s
2026-03-27 13:15:05 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | i
2026-03-27 13:15:06 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | [BACKSPACE]
2026-03-27 13:15:06 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit |  
2026-03-27 13:15:07 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | i
2026-03-27 13:15:07 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | s
2026-03-27 13:15:07 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit |  
2026-03-27 13:15:07 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | a
2026-03-27 13:15:07 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit |  
2026-03-27 13:15:07 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | t
2026-03-27 13:15:08 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | e
2026-03-27 13:15:08 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | s
2026-03-27 13:15:08 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | t
2026-03-27 13:15:09 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | 

2026-03-27 13:15:11 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | [ESC]
2026-03-27 13:16:52 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | t
2026-03-27 13:16:52 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | h
2026-03-27 13:16:52 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | i
2026-03-27 13:16:53 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | s
2026-03-27 13:16:53 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit |  
2026-03-27 13:16:53 | Shell - vbishop@dcudebiantest: ~/Downloads/keyaudit | i
